Model,BLCA,BRCA,HNSC,KIRC,LGG,LIHC,LUAD,LUSC,OV,STAD,Mean
CoxLasso,0.46,0.5,0.6039,0.501,0.7762,0.2635,0.25,0.56,0.531,0.6923,0.5138
CoxRidge,0.5189,0.5,0.7371,0.4823,0.7714,0.3125,0.5139,0.2617,0.4964,0.7624,0.5357
Coxnnet,0.564,0.5,0.6487,0.5552,0.7929,0.4802,0.3889,0.5667,0.5418,0.6579,0.5696
CoxMLP,0.5402,1.0,0.4593,0.4396,0.7929,0.276,0.5139,0.58,0.5516,0.7201,0.5874
VAECox,0.6132,0.0,0.8312,0.7292,0.7643,0.6802,0.4583,0.38,0.5259,0.7357,0.5718
CoxPH-PCA,0.2931,0.0,0.299,0.2979,0.2357,0.3823,0.6806,0.72,0.3215,0.2735,0.3504
